MISCELANEA MASERCOM;AVENIDA CALLE 72 No 27B - 27;BARRIOS UNIDOS;ALCAZARES;Zona Neutra;AC 72 27 B 27;4.6646673728019294;-74.06964795457482
PAPELERIA JANNETH;CALLE 72 No 27C - 11;BARRIOS UNIDOS;ALCAZARES;Zona Neutra;CL 72 27 C 11;4.66494397626988;-74.069849483255
CIGARRERIA ALEXIS;CARRERA 24 No 65 - 62;BARRIOS UNIDOS;SIETE DE AGOSTO;Zona Neutra;KR 24 65 62;4.65696690735161;-74.0708380435098
VENTAS EQUIPESAJES LTDA;CALLE 66 No  25 - 49;BARRIOS UNIDOS;SIETE DE AGOSTO;Zona Neutra;CL 66 25 49;4.657841907256067;-74.07166166101037
CABINAS TELEFONICAS DATA MOVILES 1A;CARRERA 24 No 64 - 26;BARRIOS UNIDOS;SIETE DE AGOSTO;Zona Neutra;KR 24 64 26;4.65632474767984;-74.0712569196002
DEPRISA SIETE DE AGOSTO;CARRERA 24 NO 66 - 23;BARRIOS UNIDOS;SIETE DE AGOSTO;Zona Neutra;KR 24 66 23;4.65755415841978;-74.0707830015886
MISCELANEA E INTERNET TROCHA;CALLE 100 No 66 - 23 LOCAL 5;BARRIOS UNIDOS;LOS ANDES;Suba Centro;CL 100 66 23;4.68924846773343;-74.0705508581404
DROGERIA KEVINS FARMA;CARRERA 65 A  NRO 67 G - 27;BARRIOS UNIDOS;JOSE JOAQUIN VARGAS;Engativa;KR 65 A 67 G 27;4.67467923164765;-74.0844335437078
CAFE INTERNET CONECTATE;AVENIDA CALLE 68 No 60 77 LOCAL 2;BARRIOS UNIDOS;JOSE JOAQUIN VARGAS;Engativa;AC 68 60 77;4.67195723876867;-74.0822564165127
CIGARRERIA EXPRESO 2222;CARRERA 65 No 67D - 51;BARRIOS UNIDOS;JOSE JOAQUIN VARGAS;Engativa;KR 65 67 D 51;4.673679728815961;-74.08466455121274
DROGUERIA NUEVO HORIZONTE;CALLE 67B No 60 39;BARRIOS UNIDOS;JOSE JOAQUIN VARGAS;Engativa;CL 67 B 60 39;4.670257124423288;-74.08337439071872
CAFE INTERNET MISTER ORANGE;CALLE 67B No 66 - 38;BARRIOS UNIDOS;JOSE JOAQUIN VARGAS;Engativa;CL 67 B 66 38;4.67349112910576;-74.0871697349067
PAPELERIA COMERCIAL SANTA MARTHA;CALLE 66C No 61 41 LOCAL 107;BARRIOS UNIDOS;JOSE JOAQUIN VARGAS;Engativa;CL 66 C 61 41;4.66934380367254;-74.0851872949476
CAFE INTERNET REVOLUTION;CARRERA 64 No 67B - 18;BARRIOS UNIDOS;JOSE JOAQUIN VARGAS;Engativa;KR 64 67 B 18;4.672001745138041;-74.08484899734137
CAFE INTERNET SUPERLINE COMUNICACIONES;CARRERA 65 No 74 - 00;BARRIOS UNIDOS;SAN FERNANDO OCCIDENTAL;Calle 80;KR 65 74 00;4.67637558480934;-74.0822893807359
CAFE INTERNET VARIEDADES CECI;CARRERA 60 No 73 - 21;BARRIOS UNIDOS;SAN FERNANDO OCCIDENTAL;Calle 80;KR 60 73 21;4.67368191025728;-74.0791161495129
PAPELERIA Y MISCELANEA CHIQUILLO;CARRERA 24 No 69 - 19;BARRIOS UNIDOS;ALCAZARES;Zona Neutra;KR 24 69 19;4.65999709904667;-74.0691923725497
PAPELERIA FAXICOPIAS;CARRERA 25 No 67 - 93;BARRIOS UNIDOS;SIETE DE AGOSTO;Zona Neutra;KR 25 67 93;4.65923547825038;-74.0701707342068
CAFE INTERNET ALAM COM;CARRERA 24 No 63D - 09;BARRIOS UNIDOS;QUINTA MUTIS;Zona Neutra;KR 24 63 D 09;4.65475513939244;-74.071937926552
MUEBLES Y SUMINISTROS JL SAS;CALLE 78 No 28A - 25;BARRIOS UNIDOS;SANTA SOFIA;Zona Neutra;CL 78 28 A 25;4.670081609262358;-74.06726088086921
PAPELERIA A Y Z SUMINISTROS;CALLE 63F No 24 - 25 PISO 2;BARRIOS UNIDOS;QUINTA MUTIS;Zona Neutra;CL 63 F 24 25;4.6554327262235;-74.0718747321091
DROGUERIA ESPECIAL DE LA 95;CARRERA 58 No 94 - 04;BARRIOS UNIDOS;RIONEGRO;Suba Centro;KR 58 94 04;4.68283075437966;-74.0651569192511
MENSAJERIA UNI EXPRESS;CALLE 94 No 57 - 63;BARRIOS UNIDOS;RIONEGRO;Suba Centro;CL 94 57 63;4.682618373032027;-74.06501798358312
CAFE INTERNET MOTONET.COM;CALLE 66 No 15 - 24;BARRIOS UNIDOS;LA ESPERANZA;Zona Neutra;CL 66 15 24;4.653987151909585;-74.06525651736413
PAPELERIA COMUNICACIONES CVF;CARRERA 17 No 66 - 14;BARRIOS UNIDOS;LA ESPERANZA;Zona Neutra;KR 17 66 14;4.6546828049553906;-74.06657504714964
PAPELERIA Y INTERNET ANA MARIA;CALLE 63B No 27A - 09;BARRIOS UNIDOS;QUINTA MUTIS;Zona Neutra;CL 63 B 27 A 09;4.653119347432469;-74.07488690472083
CAFE INTERNET COM LAURA;CARRERA 26 No 63A - 01;BARRIOS UNIDOS;QUINTA MUTIS;Zona Neutra;KR 26 63 A 01;4.652380305485392;-74.07348149699186
TIENDA GRAN SURTIDOR DE LA 24;CARRERA 24 No 63A - 53;BARRIOS UNIDOS;QUINTA MUTIS;Zona Neutra;KR 24 63 A 53;4.65256722873764;-74.0722530600394
DROGUERIA SUPERTIENDA Y DROGUERIA MERCASALUD;CARRERA 64 No 72 - 50 LOCAL 1;BARRIOS UNIDOS;SAN FERNANDO OCCIDENTAL;Calle 80;KR 64 72 50;4.67507251461198;-74.0822048952794
AUTOSERVICIO J J EXPRESS;CALLE 67G No 65A 06;BARRIOS UNIDOS;JOSE JOAQUIN VARGAS;Engativa;CL 67 G 65 A 06;4.674626573318745;-74.08453197881717
PAPELERIA MAGDA LIZETH PEREZ VENTURA;AVENIDA CALLE 68 No 57C - 05;BARRIOS UNIDOS;POPULAR MODELO;Engativa;AC 68 57 C 05;4.669414719182385;-74.08072874594535
TIENDA EL BUEN VECINO;CALLE 63A No 27 - 75;BARRIOS UNIDOS;QUINTA MUTIS;Zona Neutra;CL 63 A 27 75;4.65237132576451;-74.07512283566454
PAPELERIA PAPELERA 3 TORRES;CARRERA 24 No 83 - 57;BARRIOS UNIDOS;POLO CLUB;Zona Neutra;KR 24 83 57;4.67126094108187;-74.0633425937024
TIENDA MACROPOLO;CARRERA 28 No 85A - 63;BARRIOS UNIDOS;POLO CLUB;Zona Neutra;KR 28 85 A 63;4.67420198909942;-74.0645256657858
PAPELERIA SAN JOSE DEL POLO;CARRERA 24 No 86A - 42;BARRIOS UNIDOS;POLO CLUB;Zona Neutra;KR 24 86 A 42;4.67512890310889;-74.0623723803623
SERVICIOS INTERSURGIR SERVICIOS SAS;CARRERA 28 No 66 - 32;BARRIOS UNIDOS;LA PAZ;Zona Neutra;KR 28 66 32;4.659859388015476;-74.07363578744712
CAFE INTERNET JPC COMUNICACIONES;CALLE 63F No 28A - 80;BARRIOS UNIDOS;LA PAZ;Zona Neutra;CL 63 F 28 A 80;4.656563400653111;-74.0769453908293
CABINAS TELEFONICAS TALLER DEL EXOSTO;CARRERA 28A No 67 - 98;BARRIOS UNIDOS;LA PAZ;Zona Neutra;KR 28 A 67 98;4.66150543416256;-74.0734168336762
VENTA DE ELECTRICOS AUTOMOTRIZ ELECTRICOS Y LUJOS FERNANDO BUITRAGO;CALLE 63F NRO 27 - 34;BARRIOS UNIDOS;SIETE DE AGOSTO;Zona Neutra;CL 63 F 27 34;4.656129970221845;-74.07390736577314
MISCELANEA Y FOTOCOPIAS NOEL ORTEGON;CARRERA 52 No 67A - 68;BARRIOS UNIDOS;SAN MIGUEL;Engativa;KR 52 67 A 68;4.665176500894584;-74.07782608862374
