ESTABLECIMIENTO;DIRECCION;LOCALIDAD;BARRIO;ZONA_SITP;FECHA CORTE
SUBDISTRIBUIDOR DE CLARO COYE@CEL;DIAGONAL 83B No 76A - 33;ENGATIVA;VILLAS DE GRANADA I;Calle 80;01/09/2014
PAPELERIA LITO ARTE COM;CARRERA 68 F No 71 - 20;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
CAFE INTERNET EMI TV MAS;CARRERA 69 No 70A - 02;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
CAFE INTERNET NEBCASTER TECHNOLOGY SAS;CARRERA 68D No 68 - 14;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
PAPELERIA LIMART;CARRERA 69 No 70A - 20;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
CAFE INTERNET L FE TECNO SOPORTES Y SOLUCIONES;AVENIDA CALLE 72 No 68B - 71;ENGATIVA;BELLAVISTA OCCIDENTAL;Calle 80;01/09/2014
MISCELANEA VARIEDADES G Y G;CARRERA 68F No 68A - 03;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
CAFE INTERNET TECKNO DETALLES;CARRERA 68F No 69 - 08;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
CAFE INTERNET COMUNICACIONES JM;CALLE 68A No 68A -71;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
ACCESORIOS PARA CELULAR MAGDAIPC COMUNICACION;AVENIDA CALLE 72 No 68G - 23;ENGATIVA;BELLAVISTA OCCIDENTAL;Calle 80;01/09/2014
CAFE INTERNET JADI COMUNICACIONES;CARRERA 68 F  NRO 70 A - 41;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
LA TARE@.COM;CARRERA 68 F NO 69 A 12;ENGATIVA;BELLAVISTA OCCIDENTAL;Engativa;01/09/2014
CAFE INTERNET ALVARO FORERO;TRANSVERSAL 85 No 63F 04;ENGATIVA;VILLA LUZ;Engativa;01/09/2014
SALSAMENTARIA AVILACTEOS VILLA LUZ;CARRERA 77A No 63B - 57;ENGATIVA;VILLA LUZ;Engativa;01/09/2014
PAPELERIA Y LIBRERIA JM;AVENIDA CALLE 72 No 76 20;ENGATIVA;TABORA;Engativa;01/09/2014
MISCELANEA Y PAPELERIA BARBARITA;CARRERA 107 No 75B - 15;ENGATIVA;GARCES NAVAS;Calle 80;01/09/2014
CABINAS TELEFONICAS PUNTO CAF GARCES;TRANSVERSAL 106 No 74A - 37;ENGATIVA;GARCES NAVAS;Calle 80;01/09/2014
CAFE INTERNET DISTRICOM RODRIGUEZ NET;CALLE 76 No 108 - 03;ENGATIVA;GARCES NAVAS;Calle 80;01/09/2014
CABINAS TELEFONICAS PRACTI NET;CARRERA 110 No 78C - 16;ENGATIVA;GARCES NAVAS;Calle 80;01/09/2014
DROGUERIA CITY FARMA;CARRERA 107 No 79A - 23;ENGATIVA;GARCES NAVAS;Calle 80;01/09/2014
CAFE INTERNET BRICAPA;CARRERA 110 No 79A - 22;ENGATIVA;GARCES NAVAS;Calle 80;01/09/2014
CIGARRERIA Y MISCELANEA COUNTRY;TRANSVERSAL 106 No 77A - 05;ENGATIVA;GARCES NAVAS;Calle 80;01/09/2014
SUPERMERCADO PARAISO COMERCIAL;CALLE 76  NRO 108 - 22;ENGATIVA;GARCES NAVAS;Calle 80;01/09/2014
PAPELERIA Y MISCELANEA DAYANIS;CALLE 66B No 123 - 78;ENGATIVA;EL GACO;Engativa;01/09/2014
SUPERMERCADO BOYACA TIERRA VERDE;CARRERA 76 No 75A - 37;ENGATIVA;TABORA;Calle 80;01/09/2014
SIN BOGOTA NORMANDIA;CALLE 55 # 74A - 05;ENGATIVA;NORMANDIA OCCIDENTAL;Engativa;01/09/2014
PAPELERIA CLIPS AND CLICK;CARRERA 73A No 52B - 45;ENGATIVA;NORMANDIA OCCIDENTAL;Engativa;01/09/2014
MICELANEA ABUELITA FLOR;AVENIDA CARRERA 104 No 75 - 09;ENGATIVA;GARCES NAVAS ORIENTAL;Calle 80;01/09/2014
CENTRO DE COMUNICACIONES EU;CARRERA 104 No 76B - 27;ENGATIVA;GARCES NAVAS ORIENTAL;Calle 80;01/09/2014
DROGUERIA J MARIO;CALLE 77 No 111 - 55;ENGATIVA;GARCES NAVAS SUR;Calle 80;01/09/2014
CAFE INTERNET COMUNICACIONES JUAN D NO 1;CARRERA 80 NO 71B-14;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
CABINAS TELEFONICAS Y ALGO MAS;CARRERA 84 BIS No 71A - 01;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
LAVANDERIA SIGIFREDO ROCHA;CARRERA 80 No 71 B - 14;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
MISCELANEA MABEL XIOMARA SUSA;CARRERA 83 No 73 12;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
CIGARRERIA LAUNY;CARRERA 80 No 69A - 46 AP 200;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
PANALERA VARIEDADES K Y K;CALLE 71A No 77A - 15;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
CAFE INTERNET COMUNICACIONES JIRETH J C;CARRERA 80A No 71 - 05;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
CAFE INTERNET MAX COMUNIK;CALLE 69A No 80A - 13;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
FERRETERIA FERRELECTRICOS 77;CARRERA 77A No 71A - 11;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
CAFE INTERNET COMCELY COMUNICACIONES;CARRERA 77 A  NRO 74 - 87;ENGATIVA;SANTA HELENITA;Engativa;01/09/2014
